window_id,source_file,window_start_ms,window_end_ms,window_duration_s,mq2_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_last,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_last,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,anomaly_label,label,phase
0,sentinel_data_20260911_153823.csv,50065,72643,22.578,146,135.6,5.2573757712379665,131,146,15,11,0.4871999291345558,28.8,28.75,0.05000000000000071,0.0,0.0,74.9,74.99,0.06999999999999601,-0.09999999999999432,-0.004429090264859346,0,0.0,0,normal,
1,sentinel_data_20260911_153823.csv,75152,97730,22.578,143,142.1,1.445683229480096,140,145,5,2,0.08858180529719197,28.7,28.709999999999997,0.05385164807134508,0.0,0.0,74.9,74.78,0.08717797887081535,0.0,0.0,0,0.0,0,normal,
2,sentinel_data_20260911_153823.csv,100239,122818,22.579,145,142.3,1.676305461424021,140,145,5,2,0.08857788210283891,28.6,28.620000000000005,0.05999999999999943,-0.09999999999999787,-0.004428894105141852,75.2,75.06,0.12806248474865722,0.4000000000000057,0.017715576420568035,0,0.0,0,normal,
3,sentinel_data_20260911_153823.csv,125327,147906,22.579,144,145.2,1.1661903789690602,144,147,3,0,0.0,28.7,28.590000000000003,0.05385164807134508,0.09999999999999787,0.004428894105141852,75.5,75.27,0.12688577540449728,0.29999999999999716,0.013286682315425713,0,0.0,0,normal,
4,sentinel_data_20260911_153823.csv,150415,172994,22.579,140,141.5,1.5,140,144,4,-4,-0.17715576420567783,28.6,28.600000000000005,0.044721359549995635,0.10000000000000142,0.004428894105142009,75.1,75.22,0.10770329614269267,-0.30000000000001137,-0.01328668231542634,0,0.0,0,normal,
5,sentinel_data_20260911_153823.csv,175503,198082,22.579,138,138.5,0.9219544457292888,137,140,3,1,0.04428894105141946,28.6,28.610000000000003,0.02999999999999936,0.0,0.0,74.9,75.14,0.10198039027185547,-0.29999999999999716,-0.013286682315425713,0,0.0,0,normal,
6,sentinel_data_20260911_153823.csv,200590,223170,22.58,171,152.6,18.2931681236466,135,181,46,32,1.41718334809566,28.8,28.68,0.05999999999999943,0.1999999999999993,0.008857395925597844,75.2,75.22,0.11661903789690718,0.0,0.0,0,0.0,0,normal,
7,sentinel_data_20260911_153823.csv,225678,248257,22.579,177,173.9,2.808914381037628,169,177,8,8,0.35431152841135566,28.7,28.74,0.04898979485566426,0.0,0.0,74.9,75.02000000000001,0.07483314773547457,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
8,sentinel_data_20260911_153823.csv,250766,273345,22.579,180,174.8,2.4,171,180,9,5,0.2214447052570973,28.7,28.759999999999998,0.04898979485566426,-0.10000000000000142,-0.004428894105142009,74.8,74.72,0.08717797887081438,0.20000000000000284,0.008857788210284018,0,0.0,0,normal,
9,sentinel_data_20260911_153823.csv,275854,298433,22.579,191,183.2,4.66476151587624,178,191,13,10,0.4428894105141946,28.8,28.73,0.04582575694955905,0.10000000000000142,0.004428894105142009,75.0,74.94999999999999,0.11180339887498884,0.20000000000000284,0.008857788210284018,0,0.0,0,normal,
10,sentinel_data_20260911_153823.csv,300942,323520,22.578,187,186.9,1.374772708486752,185,189,4,-2,-0.08858180529719197,28.8,28.790000000000003,0.030000000000000426,0.0,0.0,74.6,75.95000000000002,1.7188659051828332,-5.700000000000003,-0.2524581450969972,0,0.0,0,normal,
11,sentinel_data_20260911_153823.csv,326029,348607,22.578,191,188.4,1.2806248474865698,186,191,5,5,0.2214545132429799,28.8,28.790000000000003,0.030000000000000426,0.0,0.0,74.3,74.48999999999998,0.12999999999999906,-0.29999999999999716,-0.013287270794578669,0,0.0,0,normal,
12,sentinel_data_20260911_153823.csv,351116,373694,22.578,192,193.0,2.23606797749979,190,196,6,1,0.04429090264859598,28.8,28.75,0.05000000000000071,0.0,0.0,74.4,74.36,0.08000000000000149,0.0,0.0,0,0.0,0,normal,
13,sentinel_data_20260911_153823.csv,376203,398782,22.579,192,192.1,1.0440306508910548,190,193,3,1,0.04428894105141946,28.6,28.690000000000005,0.06999999999999962,-0.09999999999999787,-0.004428894105141852,74.4,74.41,0.07000000000000048,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
14,sentinel_data_20260911_153823.csv,401291,423870,22.579,192,194.0,3.714835124201342,190,201,11,-5,-0.2214447052570973,28.6,28.65,0.04999999999999894,-0.09999999999999787,-0.004428894105141852,74.6,74.47,0.10049875621120559,0.19999999999998863,0.008857788210283388,0,0.0,0,normal,
15,sentinel_data_20260911_153823.csv,426379,448958,22.579,192,193.8,1.9899748742132397,192,197,5,0,0.0,28.6,28.610000000000003,0.02999999999999936,0.0,0.0,74.6,74.59,0.10440306508910406,0.19999999999998863,0.008857788210283388,0,0.0,0,normal,
16,sentinel_data_20260911_153823.csv,451467,474046,22.579,200,193.7,2.6095976701399777,190,200,10,7,0.3100225873599362,28.6,28.620000000000005,0.05999999999999942,0.0,0.0,74.6,74.47999999999999,0.11661903789690425,0.19999999999998863,0.008857788210283388,0,0.0,0,normal,
17,sentinel_data_20260911_153823.csv,476554,499134,22.58,195,195.7,2.491987158875422,191,199,8,4,0.1771479185119575,28.7,28.639999999999997,0.06633249580710733,0.0,0.0,74.6,74.5,0.06324555320336399,0.09999999999999432,0.004428697962798686,0,0.0,0,normal,
18,sentinel_data_20260911_153823.csv,501642,524221,22.579,196,193.9,1.044030650891055,192,196,4,3,0.13286682315425838,28.6,28.590000000000003,0.05385164807134508,0.0,0.0,74.6,74.48,0.09797958971132416,0.19999999999998863,0.008857788210283388,0,0.0,0,normal,
19,sentinel_data_20260911_153823.csv,526730,549309,22.579,193,194.8,0.9797958971132713,193,197,4,-2,-0.08857788210283891,28.6,28.630000000000003,0.04582575694955742,-0.09999999999999787,-0.004428894105141852,74.1,74.34,0.16248076809271803,-0.5,-0.02214447052570973,0,0.0,0,normal,
20,sentinel_data_20260911_153823.csv,551818,574397,22.579,194,194.3,1.4866068747318506,192,197,5,1,0.04428894105141946,28.6,28.640000000000004,0.048989794855662516,0.0,0.0,74.2,74.21000000000001,0.13000000000000048,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
21,sentinel_data_20260911_153823.csv,576906,599485,22.579,195,195.1,0.5385164807134505,194,196,2,0,0.0,28.7,28.689999999999998,0.05385164807134461,0.09999999999999787,0.004428894105141852,74.1,74.14000000000001,0.04898979485566774,-0.10000000000000853,-0.004428894105142324,0,0.0,0,normal,
22,sentinel_data_20260911_153823.csv,601994,624573,22.579,196,195.8,1.077032961426901,194,198,4,0,0.0,28.6,28.690000000000005,0.05385164807134461,-0.09999999999999787,-0.004428894105141852,73.9,73.91,0.0943398113205655,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
23,sentinel_data_20260911_153823.csv,627081,649660,22.579,195,194.9,0.9433981132056604,193,196,3,0,0.0,28.6,28.620000000000005,0.03999999999999915,0.0,0.0,74.1,73.96000000000001,0.09165151389911655,0.09999999999999432,0.004428894105141694,0,0.0,0,normal,
24,sentinel_data_20260911_153823.csv,652169,674748,22.579,192,193.1,1.0440306508910548,192,195,3,-3,-0.13286682315425838,28.5,28.54,0.04898979485566426,-0.10000000000000142,-0.004428894105142009,74.4,74.33,0.10999999999999995,0.20000000000000284,0.008857788210284018,0,0.0,0,normal,
25,sentinel_data_20260911_153823.csv,677256,699836,22.58,205,205.4,8.845337754998392,192,229,37,13,0.5757307351638619,28.5,28.55,0.05000000000000071,0.0,0.0,74.6,74.54,0.10198039027185546,0.09999999999999432,0.004428697962798686,0,0.0,0,normal,
